sector,year,cloud_intensity_sim,cloud_intensity_sector_sim,pred_target_value_added
D35,2027,37.01158650000001,28.573220159354165,18803.92578125
D35,2028,38.86216582500001,30.001881167321876,18469.91015625
D35,2029,40.80527411625001,31.50197522568797,19264.703125
D35,2030,42.84553782206252,33.07707398697237,27405.88671875
E,2026,35.24913,27.212590627956345,36148.87109375
E,2027,37.01158650000001,28.573220159354165,36148.87109375
E,2028,38.86216582500001,30.001881167321876,38496.21484375
E,2029,40.80527411625001,31.50197522568797,39738.90625
E,2030,42.84553782206252,33.07707398697237,47880.08984375
E36,2026,35.24913,27.212590627956345,25174.248046875
E36,2027,37.01158650000001,28.573220159354165,25174.248046875
E36,2028,38.86216582500001,30.001881167321876,24878.58203125
E36,2029,40.80527411625001,31.50197522568797,26121.298828125
E36,2030,42.84553782206252,33.07707398697237,34262.42578125
E37-E39,2026,35.24913,27.212590627956345,42641.95703125
E37-E39,2027,37.01158650000001,28.573220159354165,42641.95703125
E37-E39,2028,38.86216582500001,30.001881167321876,46032.109375
E37-E39,2029,40.80527411625001,31.50197522568797,47274.80078125
E37-E39,2030,42.84553782206252,33.07707398697237,55415.97265625
F,2026,35.24913,27.212590627956345,63298.7265625
F,2027,37.01158650000001,28.573220159354165,63298.7265625
F,2028,38.86216582500001,30.001881167321876,61538.15234375
F,2029,40.80527411625001,31.50197522568797,62780.84765625
F,2030,42.84553782206252,33.07707398697237,70921.9453125
G,2026,35.24913,27.212590627956345,276520.53125
G,2027,37.01158650000001,28.573220159354165,276520.53125
G,2028,38.86216582500001,30.001881167321876,274183.84375
G,2029,40.80527411625001,31.50197522568797,275426.59375
G,2030,42.84553782206252,33.07707398697237,283567.78125
G-I,2026,35.24913,27.212590627956345,438860.21875
G-I,2027,37.01158650000001,28.573220159354165,438860.21875
G-I,2028,38.86216582500001,30.001881167321876,409457.28125
G-I,2029,40.80527411625001,31.50197522568797,410699.96875
G-I,2030,42.84553782206252,33.07707398697237,416833.21875
G45,2026,35.24913,27.212590627956345,56990.05859375
G45,2027,37.01158650000001,28.573220159354165,56990.05859375
G45,2028,38.86216582500001,30.001881167321876,55262.3984375
G45,2029,40.80527411625001,31.50197522568797,56505.08984375
G45,2030,42.84553782206252,33.07707398697237,64646.26171875
G46,2026,35.24913,27.212590627956345,121298.0
G46,2027,37.01158650000001,28.573220159354165,121298.0
G46,2028,38.86216582500001,30.001881167321876,112799.9375
G46,2029,40.80527411625001,31.50197522568797,114042.6328125
